customer_id,first_name,last_name,phone1,phone2,card_num,cvv,expiration_date,street,city,state,zip_code
1,Merrill,Scranny,508-881-9511,302-856-0629,374288419978480,4930,1/31/2023,085 Carpenter Plaza,Worcester,MA,01654
2,Matty,Lippitt,339-742-9986,317-334-4894,6396495133824558,1537,12/14/2022,40390 Brown Alley,Woburn,MA,01813
3,Clarette,Kuzemka,617-323-8221,803-151-0055,5100136156853988,601,5/15/2022,8698 Hoard Way,Boston,MA,02208
4,Wang,Jan,339-775-6774,616-707-2855,374622072522898,8879,3/7/2023,52 Messerschmidt Plaza,Woburn,MA,01813
5,Evangelin,Cavanagh,617-315-7794,208-950-6495,344507762411576,6232,2/22/2023,2 Ridgeway Center,Boston,MA,02203
6,Florie,Doe,508-583-5441,513-995-6836,5602210932820703,8036,11/14/2022,8 Garrison Parkway,Worcester,MA,01654
7,Francisca,Guiton,617-598-2637,203-790-6086,4017956585731,4423,9/9/2022,9379 Huxley Circle,Boston,MA,02114
8,Jorge,Bickle,857-724-8766,571-277-5817,4508238866940153,3732,1/15/2023,10675 Green Ridge Park,Boston,MA,02163
9,Justino,Sproul,781-297-5420,941-685-6899,6383446593139537,6487,10/17/2022,9213 Holy Cross Way,Waltham,MA,02453
10,Chadwick,Hook,617-788-9296,941-942-8821,5602233108986884,2092,5/11/2022,619 Rutledge Drive,Lynn,MA,01905
11,Keslie,Threadgould,508-674-8334,603-100-9149,5100141005826540,7196,6/16/2022,99381 Thompson Plaza,Brockton,MA,02405
12,Lela,Honeywood,617-617-4390,262-664-3996,5602235008869136,6972,12/21/2022,0365 Armistice Point,Boston,MA,02124
13,Tremaine,Mears,318-436-6892,571-757-7727,5602239992116074,3406,11/28/2022,20426 Shasta Way,Boston,MA,02104
14,Tuck,Hambling,617-448-4735,603-744-9049,6393683094979932,4195,6/1/2022,63276 Mcguire Terrace,Lynn,MA,01905
15,Ollie,Vaines,413-627-4290,432-649-5764,4017950439927,3184,9/8/2022,755 Anzinger Alley,Springfield,MA,01152
16,Costa,Boas,617-628-8271,205-351-8743,4017950436537178,516,6/13/2022,3039 Crescent Oaks Place,Newton,MA,02458
17,Norry,Geary,617-729-5525,317-171-6218,5002359151207278,5519,4/26/2022,4 Toban Way,Boston,MA,02203
18,Vere,Keyhoe,413-985-4741,504-335-9183,5610638349610129,8868,6/6/2022,0463 Crest Line Avenue,Springfield,MA,01129
19,Anderson,Beverley,508-129-6066,706-665-8418,4913727344809021,7271,12/25/2022,959 Vernon Way,Worcester,MA,01610
20,Gael,Erett,617-285-8685,940-758-6419,6379484954883639,7255,6/29/2022,870 Waywood Junction,Boston,MA,02298
21,Wallis,Cree,508-782-6602,405-251-9670,4844077957768146,7727,7/2/2022,6 Stoughton Pass,New Bedford,MA,02745
22,Kinny,Robrow,413-602-4782,504-117-9172,5010121451058938,6491,2/18/2023,29 Larry Lane,Springfield,MA,01105
23,Edsel,Eagland,617-807-1131,269-939-6088,374622805973210,2046,1/21/2023,36 Paget Circle,Lynn,MA,01905
24,Pippa,Trevena,413-402-4501,202-798-0529,4017953888351,8426,7/12/2022,46 Hoepker Lane,Springfield,MA,01129
25,Terese,Flanner,781-237-9636,501-610-2492,5048370416423010,3656,6/19/2022,44955 Amoth Junction,Lynn,MA,01905
26,Ernesto,Tomaskunas,413-109-3800,402-833-7613,4913731954503601,1856,5/15/2022,842 Warrior Point,Springfield,MA,01129
27,Parsifal,Beceril,508-737-1381,210-942-2949,4844390613988853,9451,8/29/2022,0 Alpine Road,Newton,MA,02162
28,Trevar,Gerrit,508-236-2463,814-931-5605,372301652363039,2237,3/15/2023,97389 Lotheville Way,Worcester,MA,01605
29,Hortense,Fruin,617-556-0986,718-329-6988,4917255061321331,7407,9/17/2022,33 Morningstar Drive,Boston,MA,02216
30,Nikolas,Aves,413-851-8440,203-679-9800,5610620863902868,4525,1/18/2023,169 Talmadge Center,Springfield,MA,01114
31,Tabatha,Coverley,617-863-6350,321-884-7060,5002359407017232,1697,10/27/2022,47180 Commercial Street,Boston,MA,02298
32,Daile,Clopton,318-278-6227,623-171-8471,372301313292700,3129,7/3/2022,40446 Forest Dale Avenue,Boston,MA,02104
33,Bernete,Waldocke,617-723-6749,915-439-6858,374622902379972,6258,1/9/2023,50 Stuart Trail,Boston,MA,02208
34,Marjy,Brokenshaw,617-649-8685,212-897-0406,5602248426638827,2823,1/30/2023,40 Vernon Alley,Boston,MA,02109
35,Dotti,Tredget,617-120-4655,334-136-7482,5100148917503968,6851,4/13/2023,11 Carberry Terrace,Cambridge,MA,02142
36,Alidia,Lowsely,978-525-9043,432-943-7792,6381246612113279,6862,11/18/2022,19363 3rd Pass,Watertown,MA,02472
37,Cece,Rebbeck,774-315-6338,540-841-1147,4495802446777982,5103,9/23/2022,57 Havey Avenue,Worcester,MA,01610
38,Mella,Mussington,318-467-0905,574-172-9908,4913027530264739,1989,4/17/2022,9957 Utah Park,Boston,MA,02104
39,Sharai,Halgarth,617-984-7933,754-113-0878,6379072556637345,7125,5/14/2022,564 Everett Parkway,Boston,MA,02124
40,Sheryl,Cobon,508-319-6971,260-568-2831,373296061292820,288,12/22/2022,72171 Village Green Place,Brockton,MA,02405
