employee_id,manager,phone1,phone2,first_name,last_name
1,NULL,383-196-1701,714-210-9831,Sheree,Jeffryes
2,NULL,434-364-8981,140-837-9001,Tonnie,O'Sherin
3,NULL,584-576-1312,115-651-3414,Katherine,Stringer
4,1,657-761-6004,724-316-5024,Murray,Viner
5,1,999-435-1654,354-467-4775,Modesta,Wyvill
6,3,756-173-5882,620-515-6685,Tyne,Fassan
7,3,202-513-7392,390-591-8242,Aigneis,Ilyushkin
8,1,400-811-3709,249-488-7345,Krishnah,Brickett
9,3,154-793-0434,996-101-0927,Paxon,Moniker
10,1,127-886-3458,796-489-5554,Berny,Hotson
11,2,398-398-6209,901-385-5483,Viki,Cristobal
12,3,473-358-8354,534-190-9473,Elinor,Seadon
13,3,861-710-8305,871-802-8644,Crysta,Desport
14,2,621-138-0944,869-123-6616,Joyous,Isgate
15,3,540-485-1784,974-732-1792,Carmine,Else
16,1,939-927-1770,941-623-4977,Zacharia,Alibone
17,2,398-294-0599,726-248-1008,Doyle,Glastonbury
18,1,350-918-0849,302-811-1780,Cody,Corbett
19,2,425-107-2804,146-251-9724,Bryce,Goulbourne
20,2,260-888-7704,688-819-4461,Norman,Denzilow
21,2,740-551-8543,731-922-1062,Mandy,Iremonger
22,3,737-771-5121,593-782-6197,Boyce,Southall
23,2,777-393-9631,106-297-2916,Gustave,Scholcroft
24,3,278-692-8191,336-710-0844,Deerdre,Goodchild
25,3,295-851-7435,643-304-0213,Osmund,Treadwell
26,1,645-668-6013,710-673-1027,Elvera,Rambaut
27,1,262-574-4580,228-843-4503,Lynnelle,McCarry
28,2,127-240-2851,243-998-2676,Court,Eloi
29,1,969-211-6939,164-301-6621,Hedi,Collick
30,1,578-215-7964,412-630-2497,Whitby,Tibalt
31,3,335-778-1993,308-649-7547,Harriott,Olifard
32,1,606-741-5602,530-968-9183,Schuyler,Grutchfield
33,1,791-511-4299,922-680-3979,Neysa,Filan
34,1,946-884-9284,296-973-4316,Nadiya,Lymer
35,1,340-447-0265,646-395-6196,Darya,Collingridge
36,3,494-154-4015,394-916-3707,Marin,Tomlinson
37,1,799-588-5322,449-482-2653,Wendye,Gettings
38,2,147-967-7912,706-395-9367,Kirk,Camelia
39,3,502-195-1974,321-488-2465,Titos,Bibb
40,2,549-757-1299,979-115-5978,Christoffer,McDuffie
